Clip Gauge Length (mm)	Force (kN)
39.930624	0.082122497
39.930584	0.086636022
39.930684	0.083251268
39.930636	0.080808222
39.930600	0.098764651
39.930668	0.087066039
39.930672	0.099130519
39.930792	0.099393323
39.930856	0.1100366
39.930916	0.11360068
39.930968	0.12345143
39.93104	0.11974384
39.93102	0.14108811
39.931132	0.14531074
39.931328	0.15222093
39.931264	0.1612539
39.931384	0.17301254
39.931464	0.18508218
39.931608	0.18356617
39.931648	0.20922995
39.931696	0.2141217
39.931716	0.22126377
39.931752	0.2280003
39.931900	0.24923223
39.93198	0.24878263
39.93204	0.26180479
39.932096	0.26929623
39.93228	0.27658853
39.932288	0.27891484
39.932288	0.28998995
39.932352	0.30162182
39.932404	0.30692479
39.932524	0.31269976
39.932644	0.32583943
39.932672	0.33158478
39.932752	0.34552521
39.932776	0.33943152
39.932924	0.34837303
39.932888	0.35883799
39.93298	0.36334741
39.933092	0.36435637
39.93322	0.37023774
39.933184	0.36414817
39.93332	0.36554798
39.933384	0.37537891
39.933392	0.37568912
39.93356	0.36506772
39.933684	0.37361142
39.933608	0.37418443
39.933756	0.3772662
39.933764	0.37597176
39.933736	0.37349084
39.93388	0.37881133
39.933916	0.38432348
39.93401316	0.38579854
39.9340508	0.39844841
39.93407008	0.3949472
39.93419868	0.3985061
39.93424712	0.40311366
39.93435668	0.40594706
39.93439872	0.40199521
39.93447704	0.40717888
39.93454832	0.41951543
39.93461792	0.4183743
39.93472336	0.42754897
39.934847	0.42673042
39.93478384	0.4298619
39.93488584	0.43121201
39.93490128	0.43733352
39.93499444	0.43640184
39.93501488	0.43618026
39.93515092	0.44408268
39.935244	0.44557625
39.9352212	0.45753253
39.93528708	0.45457548
39.93532908	0.45955792
39.93546292	0.46378699
39.93548784	0.46647713
39.93571716	0.47215652
39.93563268	0.46487221
39.93578332	0.47843236
39.93585752	0.47984865
39.93597568	0.47522074
39.93604488	0.48368612
39.93612924	0.48154736
39.93616648	0.4856092
39.9361742	0.48988697
39.93629624	0.48947448
39.93638684	0.49326968
39.93639664	0.49769354
39.93650252	0.50779986
