Clip Gauge Length (mm)	Force (kN)
39.98122089	1.5195445
39.98127434	1.5163164
39.98116075	1.5194713
39.98126001	1.5194116
39.98118774	1.52268
39.98128734	1.5238385
39.98113957	1.5276893
39.98134312	1.5274915
39.98132269	1.5328418
39.98128624	1.5318308
39.98137651	1.5339067
39.9813195	1.531064
39.98134134	1.5312877
39.9813195	1.5455827
39.98146974	1.536571
39.98139023	1.5530728
39.98145949	1.5561535
39.98140394	1.5504981
39.98145451	1.554686
39.98155607	1.5603849
39.98148914	1.5530975
39.98138375	1.5493675
39.98142928	1.5660114
39.9815224	1.5590211
39.98158926	1.5665804
39.98158408	1.5689963
39.9814792	1.5647789
39.98170494	1.5726297
39.98159707	1.5742748
39.98166016	1.5732265
39.98159749	1.5756447
39.9815969	1.5799004
39.98172222	1.5769721
39.98164298	1.5755777
39.98178205	1.5798221
39.98175599	1.584854
39.9817275	1.589983
39.98177522	1.5845273
39.9817913	1.5854828
39.98179984	1.5881999
39.98189224	1.5858364
39.98182374	1.597939
39.98175678	1.5926721
39.98188339	1.5984236
39.98185432	1.5954344
39.98200093	1.6037173
39.98189111	1.6042718
39.98194614	1.6044501
39.98201073	1.6080154
39.9819879	1.6094503
39.9819497	1.6032927
39.98195649	1.6112366
39.98208763	1.6061147
39.98203782	1.6148388
39.98207803	1.613766
39.98204701	1.6209005
39.98210221	1.6207159
39.98204286	1.6218137
39.98209199	1.6231606
39.98215967	1.6213014
39.98221357	1.6293422
39.98222906	1.6321622
39.98222923	1.6347802
39.98219409	1.6302336
39.98221291	1.6342732
39.98230243	1.6341463
39.98225989	1.6369499
39.98234961	1.6403881
39.98235016	1.6382536
39.98234008	1.6400717
39.98236675	1.6477034
39.98242713	1.6440195
39.98249649	1.6524405
39.98229222	1.648598
39.98235976	1.6542709
39.98242154	1.6554873
39.98250647	1.658769
39.98253208	1.6580991
39.98246461	1.6562932
39.98251343	1.6588999
39.98248216	1.6691258
39.98251514	1.6738774
39.98253362	1.674101
39.98260597	1.6642793
39.98265911	1.6716726
39.9826409	1.6757554
39.98260775	1.6826714
39.98267601	1.6869655
39.98272449	1.6882055
39.98273776	1.6905164
39.98267903	1.6899812
39.9826937	1.6903759
39.9827273	1.6893691
39.98272511	1.6903275
39.98287583	1.6981591
39.98276913	1.7006276
39.98285409	1.6987135
39.98281405	1.701337
39.98292352	1.7108545
39.9828579	1.7129149
39.98291546	1.7133529
39.98288941	1.711036
39.98296957	1.7181375
39.98288889	1.7144344
39.9830175	1.7144611
39.98295647	1.7243879
39.98304421	1.7242446
39.98295102	1.7244085
39.98312694	1.7315956
39.98300574	1.7321398
39.98305854	1.730058
39.98317494	1.7378749
39.98313599	1.734923
39.98312711	1.7382212
39.98308254	1.7461681
39.98321306	1.7417006
39.98322866	1.7406279
39.98326795	1.7490355
39.98322637	1.7534429
39.98319338	1.7473398
39.98332586	1.7619092
39.98315097	1.7595209
39.98340496	1.759923
39.98335895	1.7666835
39.98333337	1.7580914
39.98341696	1.7594972
39.98329099	1.7706972
39.98340352	1.7698003
39.98346019	1.7717855
39.98344754	1.7687666
39.98343733	1.7785419
39.98343537	1.7714083
39.98351666	1.782304
39.98350401	1.7807517
39.98353785	1.7826535
39.98355688	1.7837479
39.98357323	1.7877792
39.98364397	1.7914135
39.98359127	1.7937595
39.98364122	1.7925947
39.98363183	1.7917629
39.98360656	1.7991892
39.98361561	1.8005128
39.98375611	1.8063506
39.98381186	1.8085512
39.98379729	1.8097676
39.98375005	1.8105621
39.98380439	1.8216218
39.98381015	1.8170722
39.98384385	1.8227568
39.98386381	1.814481
39.98394846	1.8128949
39.98386062	1.8236513
39.98401082	1.8333949
39.98387745	1.8249749
39.98395816	1.8354862
39.98396382	1.8334484
39.98400774	1.8385638
39.98394325	1.8397727
39.98408029	1.8430763
39.98403705	1.8381454
39.98415366	1.8393502
39.98412949	1.8429763
39.98405416	1.8362056
39.98419679	1.8389298
39.98420077	1.8464994
39.98419024	1.8541298
39.98419384	1.8617961
39.98420982	1.8560182
39.98424013	1.8516139
39.98424822	1.8640558
39.98422792	1.8583342
39.98422432	1.8643876
39.98437675	1.8711448
39.98432327	1.8725394
39.98434271	1.8770211
39.98429039	1.8721169
39.98439506	1.8787166
39.98443477	1.8822387
39.98444725	1.8820251
39.98452075	1.8952812
39.9845104	1.8872324
39.98449902	1.8970912
39.98458442	1.8968315
39.9845776	1.8900669
39.98455048	1.896138
39.98464096	1.8994834
39.98456183	1.9063832
39.98460626	1.9012265
39.98455521	1.9036146
39.9846233	1.9029427
39.98457345	1.8986322
39.98468313	1.9096692
39.98468505	1.9040362
39.98473298	1.9166358
39.9847155	1.9225922
39.98483731	1.9159442
39.98474049	1.9247628
39.98477107	1.9294733
39.98466366	1.9272902
39.9849196	1.9378819
39.98481952	1.9317658
39.98486046	1.9324491
39.98505177	1.9420079
39.98486581	1.9404494
39.98502095	1.9420862
39.98492934	1.9482799
39.98502897	1.9502888
39.98500504	1.9469112
39.98499386	1.955565
39.98501759	1.9569885
39.98509891	1.9544694
39.98512576	1.9587902
39.98513392	1.9618689
39.98513118	1.9630933
39.9850659	1.9644817
39.98521165	1.9581304
39.98512079	1.9703425
39.98519073	1.9787849
39.98526544	1.9804901
39.98516714	1.9787849
39.98536357	1.9845076
39.9852532	1.9857364
39.98529064	1.9868463
39.98545336	1.9820875
39.98527981	1.9981729
39.98530525	1.9858497
39.9854355	1.998338
39.98538702	1.9982927
39.98528728	1.9947239
39.98534707	2.0052311
39.98544973	2.0036657
39.98541475	2.0014775
39.98545624	2.0135481
39.98547976	2.0095222
39.98551154	2.0125163
39.98544369	2.0184214
39.98548895	2.0222547
39.98546491	2.022733
39.98561875	2.02408
39.9855316	2.0241513
39.98559273	2.0227401
39.98561423	2.0287771
39.98572771	2.0284657
39.98564382	2.031728
39.98578031	2.0292408
39.98570176	2.0357263
39.98576563	2.0369828
39.98573594	2.0499904
39.98582663	2.0397687
39.98572459	2.0444565
39.98579992	2.0472455
39.98575871	2.0458293
39.98585443	2.05424
39.98578528	2.0549524
39.9859504	2.0575054
39.98583047	2.0622003
39.98594341	2.069674
39.9860307	2.0674136
39.98598787	2.069103
39.98599357	2.0682228
39.98596689	2.0770032
39.98607702	2.0802462
39.98599881	2.0795152
39.98607808	2.0819809
39.98603269	2.0927713
39.98606961	2.0782537
39.98610973	2.0897875
39.98609289	2.0860553
39.9860883	2.0898638
39.98621234	2.0994959
39.98612718	2.0962398
39.9862984	2.0946627
39.98623243	2.0960357
39.98634229	2.1046753
39.98624594	2.0971406
39.9862817	2.1006956
39.98625078	2.1048896
39.98630478	2.1096916
39.9863919	2.1147206
39.98632723	2.1181972
39.98635758	2.110477
39.98635398	2.1131425
39.9863836	2.1211946
39.98640427	2.1310358
39.98642279	2.1234641
39.98658815	2.1308997
39.98647261	2.1370747
39.98656099	2.1264727
39.98653549	2.1300309
39.98655709	2.1384292
39.98659963	2.1361845
39.98654728	2.1403022
39.98664966	2.1449084
39.98666227	2.1481211
39.9865959	2.1553032
39.98665267	2.1506279
39.9866621	2.1461647
39.9866775	2.1534903
39.98668864	2.1609287
39.98677823	2.1633437
39.98672059	2.1639466
39.98680285	2.1697919
39.98668192	2.1691706
39.98692679	2.1705112
39.98684354	2.1733584
39.98684334	2.1714516
39.98679369	2.1817472
39.98695761	2.1749301
39.9868769	2.1800826
39.98697949	2.1799526
39.98691403	2.1847014
39.98697846	2.185225
39.98703832	2.1916959
39.98701816	2.1919041
39.98698579	2.1933839
39.98704497	2.2002108
39.98699635	2.198184
39.98699385	2.2080472
39.98704552	2.2110641
39.98708413	2.2065516
39.98708193	2.2070022
39.98721129	2.2089243
39.98719747	2.2123432
39.98723594	2.2158351
39.98726056	2.2206261
39.98728171	2.2237945
39.98731741	2.2246685
39.98737819	2.2261024
39.98734528	2.2228577
39.98724685	2.234375
39.98744577	2.2376432
39.98743963	2.234277
39.98735485	2.2375031
39.98740031	2.2406108
39.98742091	2.2480772
39.98748811	2.2380691
39.98759358	2.2495716
39.98747173	2.2465127
39.98759659	2.2569168
39.9875273	2.2590575
39.9876172	2.2519622
39.98766078	2.2552099
39.98765286	2.2564499
39.98753995	2.2554231
39.98768766	2.2670434
39.98769167	2.2713487
39.9877841	2.2705119
39.98777063	2.2739227
39.98778256	2.2780731
39.98779768	2.2727125
39.98777992	2.2785575
39.98781643	2.283664
39.98778715	2.292829
39.98794621	2.2934804
39.98790133	2.2886484
39.98792961	2.2945287
39.98799839	2.2964199
39.98791182	2.3014233
39.98795471	2.2989256
39.98801303	2.2957458
39.98804509	2.3028271
39.98806442	2.310241
39.98811647	2.3013115
39.98810707	2.3215883
39.98808667	2.3103204
39.98824384	2.3272376
39.98824322	2.3270376
39.98811976	2.3271902
39.98830813	2.3302865
39.98815747	2.3285477
39.98824662	2.3335249
39.98812435	2.3442023
39.98828419	2.3366091
39.98820126	2.3444095
39.98832811	2.3522038
39.98829177	2.3471057
39.98828975	2.3512151
39.98830082	2.354032
39.9883444	2.3472655
39.98851151	2.3549166
39.98845298	2.3627687
39.98854021	2.360436
39.98837797	2.3673491
39.98850688	2.3658772
39.98856787	2.3708103
39.98842933	2.3730881
39.98857957	2.3747456
39.98856705	2.3705649
39.98863912	2.3797467
39.9886552	2.3878586
39.98862331	2.3838301
39.98884257	2.3844178
39.98872689	2.3887501
39.98869353	2.3891993
39.98884408	2.3927968
39.98878158	2.3896394
39.98878867	2.3897302
39.98878946	2.3973274
39.9888449	2.3999951
39.98891351	2.4003713
39.98895883	2.4091222
39.98882087	2.4113176
39.98906382	2.4088027
39.98886781	2.4105167
39.98897875	2.4073708
39.9889156	2.4122894
39.98895386	2.4219484
39.98903173	2.4304063
39.98906286	2.4235139
39.98912711	2.4271669
39.98900323	2.438107
39.98923768	2.4431276
39.98912783	2.4406323
39.98922719	2.4412816
39.98929717	2.4497468
39.98938617	2.4464197
39.98932041	2.4451725
39.98925897	2.4471188
39.98929854	2.4491553
39.98925695	2.4571402
39.98930183	2.4566207
39.98934578	2.4573579
39.98932946	2.459548
39.98946321	2.4615207
39.98937736	2.4640172
39.98943184	2.4673145
39.98955287	2.466325
39.98953583	2.4723887
39.98955239	2.4677186
39.9895587	2.4728198
39.98952931	2.4813416
39.98961667	2.4761541
39.98960896	2.4771104
39.98960169	2.4791131
39.98971319	2.4774783
39.98975975	2.4857149
39.98976616	2.5000584
39.98974082	2.4918025
39.98974891	2.5019538
39.98981299	2.5016291
39.98983213	2.5132351
39.98993327	2.5077477
39.98985678	2.5151162
39.98990807	2.508131
39.98997654	2.5154738
39.98996306	2.5212903
39.98988283	2.524132
39.9899716	2.5186186
39.98994379	2.5273767
39.9899716	2.5253317
39.99002207	2.5264726
39.99003307	2.5322757
39.99005402	2.5322592
39.99008138	2.5404432
39.99014303	2.5353792
39.99002485	2.543859
39.99014745	2.5402875
39.99020749	2.5529087
39.99026704	2.551079
39.99026663	2.5515943
39.99023989	2.5574355
39.99034867	2.5587106
39.99031158	2.5649021
39.99045067	2.5672274
39.99033335	2.5708287
39.99032543	2.5652361
39.9904324	2.5748382
39.99037237	2.5767884
39.99056046	2.576304
39.99046579	2.584898
39.99044365	2.5848393
39.99051311	2.5880747
39.99052891	2.5901084
39.99059155	2.5911927
39.99056872	2.5967586
39.99068056	2.5969472
39.99063791	2.6026397
39.99065203	2.6062093
39.99070261	2.6039426
39.99072839	2.6097727
39.99073017	2.6081698
39.99068231	2.6147983
39.99076086	2.6210721
39.9907853	2.6227412
39.99087218	2.6223986
39.9908285	2.6243541
39.99096633	2.6336141
39.99101752	2.6348345
39.99093067	2.6372504
39.99092145	2.6398356
39.99096715	2.6410291
39.99102709	2.6450179
39.99101138	2.6469176
39.99105794	2.6420176
39.99100021	2.6555705
39.99108976	2.6540759
39.99106545	2.654691
39.99115463	2.6521997
39.99119845	2.6622474
39.99114568	2.6564293
39.99118723	2.6686823
39.9912064	2.6690986
